"#","Quantity","Type","Value","PartNumber"
"1","4","CAP_0805","0.1u","399-1168-1"
"2","1","CAP_0805","10u TANT","399-3684-1"
"3","1","TERM3","","282841-3"
"4","1","TERM2","","282841-2"
"5","2","RES_0805","0.30","311-.30SCT"
"6","1","RES_0805","1M","RMCF0805FT1M00CT"
"7","1","AD849x","","AD8494"
"","11","","",""
