"#","Quantity","Type","Value","PartNumber","RefDes"
"1","2","JP3","","","JP1, JP2"
"2","12","RES_0805","","RMCF0805FT470R","R1, R2, R3, R4, R5, R6, R7, R8, R9, R10, R11, R12"
"3","12","REED","","ORD324-1015","SW1, SW2, SW3, SW4, SW5, SW6, SW7, SW8, SW9, SW10, SW11, SW12"
"","26","","","",""
